0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
4932.1840020027785,8962.617871972148,-2910.493404438407,-2098.213746235617,-2605.7358669599516,-2759.0178258405026,10427.099154410487,-2842.8300882345166,-2880.6803335283867,-3381.124915172241,70.81680281623234,-2958.2934995490978,-3504.410208307372,-3119.138237530187,-3296.590203524155,-3053.0878448112503,9960.893578393045,-2874.248011176107,732.4161233211579,3197.8366523919426,0.0
638.2127196877201,-458.20772518198794,1490.256558139201,-1376.2973129392624,-850.3933951157095,-863.3039799816834,5109.753887885739,-809.3292772854702,-458.7001140968508,1630.523170163221,-785.1718522704207,49.80459363440143,-1128.8350614283174,-1579.052367731282,-996.1666070481117,3601.2979065526188,-25.358530506282595,-350.1072562861927,-1390.7858497214718,-1448.1395064698597,0.0
3847.368901508775,-2657.2355822139652,-2290.696769087245,-865.3940677770987,-2509.695568228705,1633.4634331140535,8190.432477754604,5738.577764739005,-1694.8595205662693,-3613.657711022382,-2729.37007851129,-2230.4767119209223,-3938.256150731905,7590.990489120615,-2253.601790166,-128.88854878226087,-170.4469352455472,-407.6440121673459,-1129.1733436901716,-381.43627612595094,0.0
-359.4689529058276,2263.445014971214,1908.173121297534,64.51070727777304,-298.6961317210771,-2037.5846687548465,-1711.4163427431843,657.7872731154916,13640.739441777507,-1102.6898971955563,-2880.0972431002374,86.1114892014364,-4288.464570501139,-261.8786999932011,-2441.2793699600584,1115.7579914024668,-920.8120190483296,-2584.585198277204,445.531153925725,-1295.083098768484,0.0
11608.556967467945,-2584.3719709365087,2126.4998575772606,-2771.2259786218965,-1345.6328875946324,-2646.7190616168054,-2691.868294553346,6145.850997170517,4498.790483056848,-1235.243207021725,-1333.6716990311133,-2224.447359840715,-3162.86687390476,-2914.7202632799035,-1963.5819640869881,-2114.9408454856634,-1965.4150984135626,1602.0033910302684,-4140.746210653443,7113.750018738225,0.0
6990.7972825214965,-414.6541670557547,1227.5166198427578,-2657.4762341099677,-1129.5731527616617,-2695.0859391493223,-3322.930773769685,-2594.156127078253,-2980.856960866811,47.64858160736624,10758.312021398215,330.40279588266384,-3729.0348645504637,574.775865348555,-2838.751706633735,8437.107888575727,-1719.7907926465728,1519.4256740966994,-3046.520711355693,-2757.1552992955603,0.0
43830.096263681735,-390.4265918083345,-3094.3844208522078,-3225.7064899153534,-713.0071335751134,-3115.9170447621887,-3600.918542116804,-434.5958780420552,-1729.0261939470186,-1013.3184344224064,-3141.8522469226614,-2572.6673522020674,-3348.449364558335,-2900.1814131746582,-468.6505547680396,-4032.428449140349,-3038.5269285350814,-1743.18793728905,-2106.091572512596,-3160.7597151374234,0.0
5694.050176599015,-3181.1976008303986,1377.1662787383336,-1453.691448588166,-2950.974482077143,-2705.3374252664876,2015.2771052764913,-1636.2239915365617,7052.916333860457,-3280.0265988128117,-2726.288185456838,6971.957774978787,3377.480212457471,-2216.807993469036,2265.418304337175,-2777.5649612438315,935.6323760104586,-3778.4244519505946,-4320.278174407635,1336.9167513813172,0.0
-1548.6573133539266,-815.5109529858167,-70.454750732801,1780.2126528097392,-2588.496251258426,2891.899247888527,-1007.9024772919114,-760.2919052107136,410.66225405864105,1117.2851366917141,-155.44927524765254,-1393.0134457193558,1597.5374829356253,407.54109511788056,1939.1027666207535,-989.70182407877,-603.6996571865188,-2654.385284441213,108.30613606221122,2335.0163653220147,0.0
-1130.7763666606738,456.8249445052888,-2693.377815515744,3063.6148753362445,-341.30754308717235,2731.9460976528976,238.776100515058,-1607.3523589551125,-807.6512726474192,-379.08480917646574,1064.8876476037512,1442.2627530378581,-2485.996998755474,-2350.406210936213,-675.0925750548442,3414.3061908507634,1566.5689534597354,-2235.293049806134,779.3488598440963,-52.19742221044416,0.0
